ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Iron, gold, silver, and other metal ore mining",Iron Ore Mining,,usd,"1,233",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Iron, gold, silver, and other metal ore mining",Gold Ore Mining,,usd,"1,233",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Iron, gold, silver, and other metal ore mining",Silver Ore Mining,,usd,"1,233",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Copper, nickel, lead, and zinc mining","Copper, Nickel, Lead, and Zinc Mining",,usd,"1,165",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Uranium-Radium-Vanadium Ore Mining",Uranium-Radium-Vanadium Ore Mining,,usd,"1,233",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|All Other Metal Ore Mining",All Other Metal Ore Mining,,usd,"1,233",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Stone mining and quarrying",Dimension Stone Mining and Quarrying,,usd,"0,323",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Stone mining and quarrying",Crushed and Broken Limestone Mining and Quarrying,,usd,"0,323",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Stone mining and quarrying",Crushed and Broken Granite Mining and Quarrying,,usd,"0,323",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Stone mining and quarrying",Other Crushed and Broken Stone Mining and Quarrying,,usd,"0,323",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Other nonmetallic mineral mining and quarrying",Construction Sand and Gravel Mining,,usd,"0,692",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Other nonmetallic mineral mining and quarrying",Industrial Sand Mining,,usd,"0,692",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Other nonmetallic mineral mining and quarrying",Kaolin and Ball Clay Mining,,usd,"0,692",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Other nonmetallic mineral mining and quarrying",Clay and Ceramic and Refractory Minerals Mining,,usd,"0,692",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Other nonmetallic mineral mining and quarrying","Potash, Soda, and Borate Mineral Mining",,usd,"0,692",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Other nonmetallic mineral mining and quarrying",Phosphate Rock Mining,,usd,"0,692",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Other nonmetallic mineral mining and quarrying",Other Chemical and Fertilizer Mineral Mining,,usd,"0,692",U.S EPA,2021
investments,equity-average-data-method,goods,"Mining|Mining, except oil and gas|Other nonmetallic mineral mining and quarrying",All Other Nonmetallic Mineral Mining,,usd,"0,692",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Animal Food Manufacturing,Dog and Cat Food Manufacturing,,usd,"0,478",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Animal Food Manufacturing,Other Animal Food Manufacturing,,usd,"0,809",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Grain and Oilseed Milling,Flour Milling,,usd,"1,448",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Grain and Oilseed Milling,Rice Milling,,usd,"1,448",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Grain and Oilseed Milling,Malt Manufacturing,,usd,"1,448",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Grain and Oilseed Milling,Wet Corn Milling,,usd,"1,637",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Grain and Oilseed Milling,Soybean and Other Oilseed Processing,,usd,"1,090",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Grain and Oilseed Milling,Fats and Oils Refining and Blending,,usd,"0,756",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Grain and Oilseed Milling,Breakfast Cereal Manufacturing,,usd,"0,485",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Sugar and Confectionery Product Manufacturing,Beet Sugar Manufacturing,,usd,"0,543",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Sugar and Confectionery Product Manufacturing,Cane Sugar Manufacturing,,usd,"0,543",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Sugar and Confectionery Product Manufacturing,Nonchocolate Confectionery Manufacturing,,usd,"0,543",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Sugar and Confectionery Product Manufacturing,Chocolate and Confectionery Manufacturing from Cacao Beans,,usd,"0,543",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Sugar and Confectionery Product Manufacturing,Confectionery Manufacturing from Purchased Chocolate,,usd,"0,543",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Fruit and Vegetable Preserving and Specialty Food Manufacturing,"Frozen Fruit, Juice, and Vegetable Manufacturing",,usd,"0,718",U.S EPA,2021
